himawari,himawari,言葉じゃ伝えきれないほどに愛が溢れてくるの\n手のひら合わせて歩く道 全部特別なもの\n\nドキドキするよりふざけてばかり でもそんなキミが好き\n\nひまわりによく似ているキミの笑顔をとなりで見つめていたいの\nキミの体温感じると膨らむ あたしのきもち\n膨らむ あたしの気持ち\n\n口下手なキミがたまに言う 好きだよ って囁き言葉\n\nその時気付くの 出会った頃よりキミに夢中なこと\n\nひまわりによく似ているキミの笑顔のとなりで寄り添っていたい\n太陽よりも熱い想いでキミを溶かしちゃうよ\n\nひまわりによく似ているキミの笑顔をとなりで見つめていたいの\nキミの体温感じると 膨らむ あたしの気持ち
いかないで,ikanaide,
たまごがーる,tamagogaru,窓の外 まっすぐな眼差しでボールと走るあなたが汗を拭う仕草だけで胸がドキドキしてる\nそんな彼教室に帰ってくる 落ち着いて 深呼吸\n\nだけど一番に駆け寄るのは 私 じゃない \nクラスで人気者のスタイルのいい女の子\n\n私の方が彼のこといっぱいいっぱい知ってるよ\n彼の弱いとこも認められる\nなのになんで私遠くにいるの\n図々しい わかってるよ\nだけど好きなんだもん 止められないの\n\n右斜め前 つまんなそうに授業受けるあなたを 眺めるだけで幸せ\nそんな彼当てられる 戸惑って私に答えを求めた\n\nこんなことあるの…？ \n小さな声で答え教えた\n｢ありがとう｣彼から声をかけるなんて\n\n私の方が彼にありがとうって思ってる\n彼の無邪気なとこも焦る顔も\n見ているだけでわくわくするの\n片想い わかってるよ\nだけど好きなんだもん 止められないの\n\nすれ違っても目を逸らして話すこともできない\nいつかは いつかは …\nいつかっていつなんだろう？\n\n彼の目を見て立ち止まる \n｢試合見に行くね、頑張って｣\n後ろ向いて胸を抑えても\n止まらない 鼓動と震え\nなにもしないより良かったかな\n笑顔の彼をまた想うんだ
僕らの夜空,bokuranoyozora,見上げた夜空にががやく月ときらめく星の光\n僕らの出逢いを祝福してるみたい\n\n不器用な僕の言葉を流れ星にのせる\n\n好き 愛してる 特別な人\n星の数だけ笑顔にするよ\n好き 愛してる これからもずっと あなたのこと\n\n見上げた夜空に星と星をつなぐ星座が並ぶ\n2人の運命もこんな風に結ばれた\n\n僕は不器用だけどあなたを僕の空で包む\n\n好き 愛してる 特別な人\n変わらない毎日 小さな幸せを\n好き 愛してる これからもずっと あなたのこと\n\n好き 愛してる 特別な人\n星の数だけ笑顔にするよ\n好き 愛してる これからもずっと あなたのこと
Make your Life,makeyorlife,君はどうしてそんなに落ち込んでいるの\n君はどうして ねえどうして悲しそうなの\n\n自分ですら信じられなくて怖いんだね\nそれならあたしに\n\nついておいで 信じていいよ 君のために歌うよ\n前が見えなくて耳を塞ぐ前にあたしの声を聴いて\n無理してなんて言わないよ 頑張れなんて言わないよ\n君のペースで君のしたいように道を作ろう\n\n君はどうして一人で抱え込んでしまうの？\n君はどうして ねえどうして涙流すの\n\nついておいで 裏切らないよ 君のために歌うよ\n孤独が怖くて消えてしまう前にあたしの声を聴いて\n君にしかできないことがどこかで君を待ち続ける\n誰かのためじゃない 君のしたいように道を探そう\n\n自分ですら信じられなくて怖いんだね\nそれならあたしに\n\nついておいで 信じていいよ 君のために歌うよ\n前が見えなくて耳を塞ぐ前にあたしの声を聴いて\n無理してなんて言わないよ 頑張れなんて言わないから\n君のペースで君のしたいように道を作ろう\n誰かのためじゃない君のしたいように道を探そう
i used to,iusedto,
ストーカーくんは見た,sutokakunhamita,ちょっと立ち寄った本屋で 君は泣いていたんだ 背中を向けてた\n僕にはわかるよ 君をいつも見ていたから\nアイツを想って泣いてんの? 意味のない恋愛教則本持って\n僕を選んだらいいのに 僕を選んでくれたらいいのに\n泣き顔もきれいだね でも アイツに流してるソレは\n汚いね 汚いね 枯れちゃえよ\nちょっと立ち寄ったコンビニで 君と僕は出会った\n運命のような出会いと君の長い髪につられ僕は歩いた\nアイツの側にいる時の君はいつも浮かない顔をしている\n僕を選んだらいいのに 僕を選んでくれたらいいのに\nどんな顔もきれいだね でも アイツだけに見せるソレは\n汚いね 汚いね 枯れちゃえよ\n泣き顔もきれいだね でも アイツに流してるソレは\n汚いね 汚いね 枯れちゃえよ\nどんな顔もきれいだね でも アイツだけに見せるソレは\n汚いね 汚いね 枯れちゃえよ\n僕を選んだらいいのに
人魚,ningyo,広い水槽の中で誘うマーメイド\n足は無いけど、この声があるわ\n\n全部持ってると思ってた、波に拐われたい物。\n静かな水面に浮かんでいる小さな船で笑い合うあの子は誰？\n\nアナタの輝く目を耳に飾りたいほど愛してしまった\n\n広い水槽の中で誘うマーメイド\n光も見えないほど深くまで\n足は無いけど、この声があるわ\n甘い海水で舞う 歌うメロウ\n\n月光煌めいた鱗に誘われて\n干からびないように濡らして欲しい\n\n広い水槽の中で誘うマーメイド\n息を止めるまで抱き締めたい\n足は無いけど、この声があるわ\n甘い海水で舞い踊りたい\n\nあの子のそばで笑うアナタは嫌いよ\nアタシ以外を愛でるその腕も瞳もいらないね\n\n広い水槽の中で歌うマーメイド\nアカネ色に染まるアナタ\n握りしめた貝殻、赤いドレス\n甘い海水で舞う アナタとアタシで
plot,plot,ねえ、君から始めたんでしょう\n重なるプロットの中で笑い合うふたりを書いてた\nねえ、君から始めたのに\n突然君は手を止めた もう続きは読めないと知った\n\nどんなに燃やしても 刻まれて消えないの\n鼓動が苦しいよ\n\n離れ離れの夜\n君のいない夜明けが眩しいの君の「おはよう」で始まった今日があたりまえだった毎日が もうないの\n愛になって 相になって 哀になって 灰になって\nどこまでも飛ばして\n\nねえ、君から書き始めたの綴る言葉は全部私を引き摺り込んでった\nねぇ、ねぇ、未来も期待も全部ウソに塗り潰されてしまった\n\n始めから何も無かったように生きるのは胸が痛くはないかい？\nいや、何も無かったんかな、私だけなんかな。\n\n離れ離れの夜 君のいない夜明けが眩しいの\n君と過したあの景色 匂いも温度も隠してよ 消してよ\n愛になって 相になって哀になって 灰になって\nどこまでも飛ばして\n\nどんなに燃やしても 刻まれて消えないの\n鼓動が苦しいよ。ねえ、寂しいよ。\n離れ離れの夜 君のいない夜明けが痛いの君の「おはよう」で始まった今日があたりまえだった毎日がもうないの\n愛になって 相になって哀になって 灰になって\nどこまでも飛ばして
ヒーロー,hiro,
christmas,christmas,
蜃気楼,shinkiro,
いいじゃん!?,ijan,笑ったって泣いたって怒ったって いいよ\n心の正解 わかってれば\n笑ったって泣いたって怒ったって いいよ\n自分らしさがあるなら \n\nどれだけ逃げても明日は追いかけてくる\nだから 好きにやろう\n\nいいじゃん！いいじゃん！？全部思い出に変わってく\nいいじゃん！常識も 吹っ飛ばして \n\n笑ったって泣いたって怒ったって いいよ\n心の傷跡 拭えるなら\n笑ったって泣いたって怒ったって いいよ\n自分のことを愛せるなら\n\nスタートラインはいつでもここにあるから\nだから 好きにやろう\n\nいいじゃん！いいじゃん！？全部思い出に変わってく\nいいじゃん！常識も 吹っ飛ばして \n\nどれだけ逃げても明日は追いかけてくる\nだから 好きにやろう\n\nいいじゃん！いいじゃん！？全部思い出に変わってく\nいいじゃん！常識も 吹っ飛ばして \n\nいいじゃん！いいじゃん！？全部思い出に変わってく\nいいじゃん！常識も 吹っ飛ばして \n
Rain,rain ,塞がらない雲の 隙間\n透ける青が呑まれてく\n\n重なる思い出と愛を覚えた\n鉛の溜まった心じゃ1人で歩けないよ\n半端に止まった掛け時計\nあなたが染み付くベッド やまない雨\n\n好きだったの、好きだった、愛していたから\nココが痛いよ、心が痛いの\n\n眩しい記憶で焼いた傷跡\n壊れた心の破片は1人で拾えないよ\n会いたい\n\n好きだったの、好きだった、愛していたから\nココが痛いよ、心が\n\n好きだったの、好きだった、愛していたから\nココが痛いよ、心が痛いの\n心が痛いよ
My Color Road,Mycolorroad,
その先へ,sonosakie,
願い,negai,
初夏,shoka,
